agent_id,algo,dm_uuid,dm_type,episode,goal,cumulative_goal
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-197413955.2000009,-1914538561.9999993
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-208152712.00000116,-2122691274.0000005
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-218891480.8000014,-2341582754.800002
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-229630249.60000166,-2571213004.400004
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-240368994.4000019,-2811581998.800006
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-251107739.20000216,-3062689738.000008
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-261846484.0000024,-3324536222.0000105
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-272585228.80000263,-3597121450.800013
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-283323973.6000029,-3880445424.400016
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-294062730.40000314,-4174508154.800019
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-304801475.2000034,-4479309630.000022
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-315540232.00000364,-4794849862.000026
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-326278988.8000039,-5121128850.80003
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-337017733.60000414,-5458146584.400034
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-347756502.4000044,-5805903086.800038
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-358495247.20000464,-6164398334.000043
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-369233992.0000049,-6533632326.000048
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-379972748.80000514,-6913605074.800053
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-390711505.6000054,-7304316580.400058
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-401450286.40000564,-7705766866.800063
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-412189043.2000059,-8117955910.000069
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-422927800.00000614,-8540883710.000074
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-433666544.8000064,-8974550254.800081
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-444405301.60000664,-9418955556.400087
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-455144046.4000069,-9874099602.800095
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-465882791.20000714,-10339982394.000101
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-476621548.0000074,-10816603942.000109
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-487360292.80000764,-11303964234.800116
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-498099037.6000079,-11802063272.400124
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-508837782.40000814,-12310901054.80013
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-519576527.2000084,-12830477582.00014
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,512e8c56-a342-4754-900f-d656f55c9db5,Detective,0,-530315284.00000864,-13360792866.000149
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-4116214.8,-4116214.8
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-14855217.600000007,-18971432.400000006
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-25594134.40000002,-44565566.80000003
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-36332903.20000002,-80898470.00000004
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-47071683.999999955,-127970154.0
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-57810488.79999989,-185780642.7999999
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-68549293.59999983,-254329936.39999974
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-79288086.39999977,-333618022.7999995
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-90026891.1999997,-423644913.99999917
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-100765683.99999964,-524410597.9999988
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-111504488.79999958,-635915086.7999984
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-122243281.59999952,-758158368.399998
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-132982050.39999945,-891140418.7999974
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-143720819.19999966,-1034861237.9999971
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-154459623.9999999,-1189320861.9999971
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-165198404.80000016,-1354519266.7999973
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-175937221.6000004,-1530456488.3999977
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-186676026.40000066,-1717132514.7999983
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-197414807.2000009,-1914547321.9999993
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-208153588.00000116,-2122700910.0000005
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-218892404.8000014,-2341593314.800002
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-229631197.60000166,-2571224512.400004
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-240370002.4000019,-2811594514.800006
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-251108747.20000216,-3062703262.000008
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-261847528.0000024,-3324550790.0000105
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-272586320.80000263,-3597137110.800013
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-283325125.6000029,-3880462236.400016
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-294063894.40000314,-4174526130.800019
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-304802687.2000034,-4479328818.000022
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-315541480.00000364,-4794870298.000026
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-326280260.8000039,-5121150558.80003
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-337019041.60000414,-5458169600.400034
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-347757846.4000044,-5805927446.800038
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-358496663.20000464,-6164424110.000043
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-369235444.0000049,-6533659554.000048
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-379974248.80000514,-6913633802.800053
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-390713041.6000054,-7304346844.400058
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-401451870.40000564,-7705798714.800063
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-412190663.2000059,-8117989378.000069
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-422929456.00000614,-8540918834.000074
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-433668224.8000064,-8974587058.800081
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-444407017.60000664,-9418994076.400087
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-455145810.4000069,-9874139886.800095
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-465884603.20000714,-10340024490.000101
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-476623432.0000074,-10816647922.000109
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-487362224.80000764,-11304010146.800116
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-498101005.6000079,-11802111152.400124
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-508839834.40000814,-12310950986.80013
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-519578627.2000084,-12830529614.00014
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,6ac783f1-51cf-41d4-98b4-f39b368240e6,Responsive,0,-530317432.00000864,-13360847046.000149
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-4116382.8,-4116382.8
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-14855459.600000007,-18971842.400000006
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-25594456.40000002,-44566298.80000003
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-36333453.20000002,-80899752.00000004
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-47072449.999999955,-127972202.0
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-57811446.79999989,-185783648.7999999
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-68550443.59999983,-254334092.39999974
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-79289440.39999977,-333623532.7999995
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-90028437.1999997,-423651969.99999917
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-100767433.99999964,-524419403.9999988
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-111506430.79999958,-635925834.7999984
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-122245427.59999952,-758171262.399998
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-132984424.39999945,-891155686.7999974
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-143723421.19999966,-1034879107.9999971
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-154462417.9999999,-1189341525.9999971
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-165201414.80000016,-1354542940.7999973
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-175940411.6000004,-1530483352.3999977
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-186679408.40000066,-1717162760.7999983
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-197418405.2000009,-1914581165.9999993
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-208157402.00000116,-2122738568.0000005
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-218896398.8000014,-2341634966.800002
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-229635395.60000166,-2571270362.400004
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-240374392.4000019,-2811644754.800006
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-251113389.20000216,-3062758144.000008
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-261852386.0000024,-3324610530.0000105
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-272591382.80000263,-3597201912.800013
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-283330379.6000029,-3880532292.400016
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-294069376.40000314,-4174601668.800019
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-304808373.2000034,-4479410042.000022
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-315547370.00000364,-4794957412.000026
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-326286366.8000039,-5121243778.80003
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-337025363.60000414,-5458269142.400034
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-347764360.4000044,-5806033502.800038
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-358503357.20000464,-6164536860.000043
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-369242354.0000049,-6533779214.000048
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-379981350.80000514,-6913760564.800053
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-390720347.6000054,-7304480912.400058
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-401459344.40000564,-7705940256.800063
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-412198341.2000059,-8118138598.000069
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-422937338.00000614,-8541075936.000074
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-433676334.8000064,-8974752270.800081
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-444415331.60000664,-9419167602.400087
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-455154328.4000069,-9874321930.800095
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-465893325.20000714,-10340215256.000101
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-476632322.0000074,-10816847578.000109
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-487371318.80000764,-11304218896.800116
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-498110315.6000079,-11802329212.400124
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-508849312.40000814,-12311178524.80013
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-519588309.2000084,-12830766834.00014
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,b284d478-5460-4177-af33-83dcc0a56891,Preventive,0,-530327306.00000864,-13361094140.000149
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-4116382.8,-4116382.8
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-14855589.600000007,-18971972.400000006
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-25594796.40000002,-44566768.80000003
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-36334003.20000002,-80900772.00000004
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-47073209.999999955,-127973982.0
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-57812416.79999989,-185786398.7999999
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-68551623.59999983,-254338022.39999974
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-79290830.39999977,-333628852.7999995
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-90030037.1999997,-423658889.99999917
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-100769243.99999964,-524428133.9999988
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-111508450.79999958,-635936584.7999984
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-122247657.59999952,-758184242.399998
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-132986864.39999945,-891171106.7999974
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-143725861.19999966,-1034896967.9999971
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-154464857.9999999,-1189361825.9999971
32e5ee42-9c82-4b9d-969f-4fc15fcd4c54,DAC,c9f38d25-f3fa-4ffc-9db4-04991659d393,Detective,0,-165203854.80000016,-1354565680.7999973
